WKT,ID,目撃痕跡種別,出没年,出没日,時刻,市町名,場所,備考,頭数,集落,集落コード,500mメッシュコード,緯度,経度,河川からの出没
POINT (136.5090264 36.4331984),22,目撃,R4,R4.4.24,10時30分頃,能美市,能美市坪野町,美化センター付近の県道を西から東へ横切り、山林に向かう体長1ｍほどのクマ１頭を目撃,1,坪野,1.72E+09,5.44E+08,36.4331984,136.5090264,1
POINT (136.76484 36.66128),43,目撃,R4,R4.5.15,16時50分頃,津幡町,七野地内,津幡川から運動公園側へ行くクマを目撃,1,七野,1.74E+09,5.44E+08,36.66128,136.76484,1
POINT (136.6831639 36.5551841),86,目撃,R4,R4.6.1,20時58分頃,金沢市,旭町2丁目地内,クマ1頭(0.6ｍ程度）を目撃,1,旭町,1.72E+09,5.44E+08,36.5551841,136.6831639,1
POINT (136.6844811 36.5534616),87,目撃,R4,R4.6.2,3時50分頃,金沢市,旭町2丁目地内,クマ1頭（0.6ｍ程度）を目撃,1,旭町,1.72E+09,5.44E+08,36.5534616,136.6844811,1
POINT (136.39535 36.30327),148,目撃,R4,R4.6.28,14時30分頃,加賀市,勅使町地内,勅使町地内で子グマ1頭を目撃,1,勅使,1.72E+09,5.44E+08,36.30327,136.39535,1
POINT (136.6253886 36.446229),185,目撃,R4,R4.7.16,10時20分頃,白山市,鶴来水戸町地内,鶴来水戸町地内（北陸電力鶴来発電所付近）にて、クマと思われる１頭の目撃,1,大国町,1.72E+09,5.44E+08,36.446229,136.6253886,1
POINT (136.6566342 36.561051),202,目撃,R4,R4.8.11,4時30分頃,金沢市,夕日寺町,クマ1頭（1.0ｍ程度）を目撃,1,夕日寺町,1.72E+09,5.44E+08,36.561051,136.6566342,1
POINT (136.3776878 36.3564256),310,目撃,R5,R5.4.24,20時00分頃,加賀市,柴山町地内,柴山交差点付近で子グマ1頭を目撃,1,柴山,1.72E+09,5.44E+08,36.3564256,136.3776878,1
POINT (136.3498494 36.29835132),325,目撃,R5,R5.5.22,2時30分頃,加賀市,保賀町地内,保賀町地内でクマ1頭を目撃,1,保賀,1.72E+09,5.44E+08,36.29835132,136.3498494,1
POINT (136.3151461 36.30519941),343,目撃,R5,R5.6.2,23時10分頃,加賀市,大聖寺荒町地内,大聖寺荒町地内でクマ1頭を目撃,1,菅生,1.72E+09,5.44E+08,36.30519941,136.3151461,1
POINT (136.6270391 36.1890928),357,目撃,R5,R5.6.10,17時00分頃,白山市,白峰地内,白峰地内（白峰スキー競技場桑島リフト付近）親グマ１頭、子グマ２頭の目撃,3,白峰,1.72E+09,5.44E+08,36.1890928,136.6270391,1
POINT (136.4001017 36.31033269),370,目撃,R5,R5.6.21,19時15分頃,加賀市,熊坂町地内,小西水産付近でクマ1頭を目撃,1,熊坂,1.72E+09,5.44E+08,36.31033269,136.4001017,1
POINT (136.4001017 36.31033269),371,目撃,R5,R5.6.21,19時40分頃,加賀市,栄谷町地内,那谷川の土合橋付近で子グマ1頭を目撃,1,栄谷,1.72E+09,5.44E+08,36.31033269,136.4001017,1
POINT (136.3740092 36.29926563),373,目撃,R5,R5.6.23,8時10分頃,加賀市,丸山町地内,丸山町地内でクマ1頭を目撃,1,尾俣,1.72E+09,5.44E+08,36.29926563,136.3740092,1
POINT (136.748619 36.796699),393,目撃,R5,R5.7.10,17時45分頃,宝達志水町,免田地内,クマの成獣とみられる個体;免田駅付近で目撃,1,免田,1.74E+09,5.54E+08,36.796699,136.748619,1
POINT (136.746999 36.797565),394,目撃,R5,R5.7.10,17時50分頃,宝達志水町,免田地内,クマの成獣とみられる個体;免田駅付近で目撃,1,免田,1.74E+09,5.54E+08,36.797565,136.746999,1
POINT (136.3839736 36.29931968),403,目撃,R5,R5.7.19,7時00分頃,加賀市,森町地内,森町地内でクマ1頭を目撃,1,森,1.72E+09,5.44E+08,36.29931968,136.3839736,1
POINT (136.3832681 36.30036376),405,目撃,R5,R5.7.20,19時00分頃,加賀市,森町地内,森町町民会館付近でクマ1頭を目撃,1,森,1.72E+09,5.44E+08,36.30036376,136.3832681,1
POINT (136.383185 36.30843281),414,目撃,R5,R5.7.27,16時30分頃,加賀市,桑原町,桑原大橋付近でクマ1頭を目撃,1,桑原,1.72E+09,5.44E+08,36.30843281,136.383185,1
